heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
Mining gpu-rig,2500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=341636231
Asus stasjonær pc uten SSD.,2500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375345879
RED DRAGON RX 6800XT 16GB GDDR6 RAM,5000,Radeon RX 6800 XT 16 GB,AMD,rx 6800 xt,16,rx 6800 xt,https://www.finn.no/bap/forsale/ad.html?finnkode=341971152
Selger rå gaming pc! GTX 1080!,4990,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371714344
"3080 Suprim X 10GB LHR (Mai 2022), leveres Oslo & Vestfold",5500,GeForce RTX 3080 10 GB,NVIDIA,3080,10,3080,https://www.finn.no/recommerce/forsale/item/376140562
Mining hovedkort,2000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,https://www.finn.no/bap/forsale/ad.html?finnkode=327603403
Gaming PC,5900,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376161197
Httpc Ryzen 3400g,4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=364623467
Hp Omen 880-109no,5000,Unknown,,880,,,https://www.finn.no/recommerce/forsale/item/340984589
Selger et MSI RTX 3070 Suprim X 8G LHR grafikk-kort.,4500,GeForce RTX 3070 8 GB,NVIDIA,rtx 3070,,rtx 3070,https://www.finn.no/bap/forsale/ad.html?finnkode=373612728
Asus gaming pc med alt av utstyr selges til en rimelig penge!,7000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372981558
Komponentpakke Budsjett Gaming PC HK CPU GPU,2000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369229699
Gaming Pc med monitor,2200,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/343187097
Dreamhack Komplett gaming pc,3500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=145969882
Selvbygd pc selges,5000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376053717
Nvidia Geforce RTX 3070 Ti Founders Edition,6500,GeForce RTX 3070 Ti 8 GB,NVIDIA,rtx 3070 ti,,rtx 3070 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=372856549
RTX 2060 12GB,2200,Unknown,NVIDIA,rtx 2060,12,,https://www.finn.no/bap/forsale/ad.html?finnkode=372209649
Gaming stasjonær pc 8 GB,5500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=350767628
Gaming PC,4300,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367962743
Pen gaming pc Ryzen 7 3700x / 1070 / 32gb Ram,5499,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376148196
Gainward Ghost GeForce GTX 1660Ti,1200,GeForce GTX 1660 Ti 6 GB,NVIDIA,gtx 1660 ti,,gtx 1660 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=344004361
"Grafikkort EVGA 3070 stor utgave, pent brukt!",4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,https://www.finn.no/bap/forsale/ad.html?finnkode=373201202
RTX 3060 zotac 12gb,2990,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,12,rtx 3060,https://www.finn.no/bap/forsale/ad.html?finnkode=306155637
