heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,match_count,seller,canonical_url
Acer Nitro N50-600 Gaming,2500,Unknown,,600,,,0,,https://www.finn.no/recommerce/forsale/item/375123025
Lenovo legion t5,8000,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/373940998
Asus B250 Mining Expert 19 GPU hovedkort m/prosessor,6500,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=245319298
"Intel i7-7700, ASUS ROG Strix B250F Gaming, Ballistix 16GB RAM",2500,Unknown,,7700,16,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=370497980
HP ProDesk 600 G1 SFF med Windows pro versjon,1299,Unknown,,600,,,0,,https://www.finn.no/recommerce/forsale/item/197103206
ASUS GeForce RTX 2080 SUPER ROG STRIX OC - 8GB,3000,GeForce RTX 2080 SUPER 8 GB,NVIDIA,rtx 2080 super,8,rtx 2080 super,1,,https://www.finn.no/recommerce/forsale/item/374896144
ZOTAC GAMING GeForce RTX 3080 Trinity,6500,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,,rtx 3080,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=343127039
Gaming Intel i5 RTX 260 6 GB,3500,Unknown,NVIDIA,rtx 260,6,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=371413666
Amd Radeon RX 6800 16GB,5000,Radeon RX 6800 16 GB,AMD,rx 6800,16,rx 6800,1,,https://www.finn.no/recommerce/forsale/item/375099773
RED DRAGON RX 6800XT 16GB GDDR6 RAM,5000,Radeon RX 6800 XT 16 GB,AMD,rx 6800 xt,16,rx 6800 xt,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=341971152
Mining hovedkort,2000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=327603403
Hp Omen 880-109no,5000,Unknown,,880,,,0,,https://www.finn.no/recommerce/forsale/item/340984589
Selger et MSI RTX 3070 Suprim X 8G LHR grafikk-kort.,4500,GeForce RTX 3070 8 GB,NVIDIA,rtx 3070,,rtx 3070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373612728
"3080 Suprim X 10GB LHR (Mai 2022), leveres Oslo & Vestfold",5500,GeForce RTX 3080 10 GB,NVIDIA,3080,10,3080,1,,https://www.finn.no/recommerce/forsale/item/376140562
Nvidia Geforce RTX 3070 Ti Founders Edition,6500,GeForce RTX 3070 Ti 8 GB,NVIDIA,rtx 3070 ti,,rtx 3070 ti,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=372856549
RTX 2060 12GB,2200,GeForce RTX 2060 12 GB,NVIDIA,rtx 2060,12,rtx 2060,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=372209649
"Grafikkort EVGA 3070 stor utgave, pent brukt!",4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373201202
RTX 3060 zotac 12gb,2990,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,12,rtx 3060,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=306155637
Dell T3600 Xeon E5-1620  Quatro K4000,3000,Unknown,,1620,,,0,,https://www.finn.no/recommerce/forsale/item/330556392
HP Z420 Workstation LJ449AV selges som delemaskin,1300,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=367524340
ASUS Radeon RX 5700 XT ROG Strix OC,2000,Radeon RX 5700 XT 8 GB,AMD,rx 5700 xt,,rx 5700 xt,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=356371536
Rtx 3060 Ti 8gb MSI,3500,GeForce RTX 3060 Ti 8 GB,NVIDIA,rtx 3060 ti,8,rtx 3060 ti,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=370643612
Selges grunnet overgang til annen,2500,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=372489246
Fractal Design Node 202 med strømforsyning,1900,Unknown,,202,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=371517170
"HP ProDesk 600 - i5 9gen, 32gb minne, 256GBs nvme og win11",2700,Unknown,,600,32,,0,,https://www.finn.no/recommerce/forsale/item/376572102
Old School Gamer,2700,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/375129972
Gaming setup,7500,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/376023380
"iMac 21,5"" 4K Retina",4000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=371160726
ASUS GeForce GTX 1070 ROG Strix Gaming,1500,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=367355584
"HP Z440 Workstation, Intel Xeon E5-1630 v3 @ 3.70GHz, 32 GB ECC, 250GB SSD",3500,Unknown,,1630,32,,0,,https://www.finn.no/recommerce/forsale/item/373965505
NVIDIA GeForce 1080 SeaHawk X,2000,GeForce GTX 1080 8 GB,NVIDIA,1080,,1080,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373835804
Sapphire RX 590 Special Edition 8GB GDDR5 Graphics Card,1150,Radeon RX 590 8 GB,AMD,rx 590,8,rx 590,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=368624257
Asus ROG-STRIX-RX580-T8G-GAMING,1200,Radeon RX 580 8 GB,AMD,rx 580,,rx 580,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=370138656
Msi Nightblade MI3,3000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=371546209
SilverStone Sugo SG15,1399,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=368633429
"Mac Pro (mid 2010) og Apple Cinema 30""",3600,Unknown,,2010,,,0,,https://www.finn.no/recommerce/forsale/item/375074266
Rog Strix RX580 T8G Gaming,1200,Radeon RX 580 8 GB,AMD,rx 580,,rx 580,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=371834349
PowerColor Red Dragon Radeon™ RX 570 4GB - Nytt kort,1200,Unknown,AMD,rx 570,4,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=248292079
Msi 2060 Gaming Z,2500,Multi,,"['2060', '2060']",,"['2060', '2060']",2,,https://www.finn.no/bap/forsale/ad.html?finnkode=262624107
Fujitsu Esprimo Windows11/Office2021 Nvidia 1050/Intel Q8300/8Gb RAM/360Gb SSD,1799,Unknown,NVIDIA,1050,8,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=211030768
EVGA GEFORCE GTX 1080Ti FTW edition,4500,GeForce GTX 1080 Ti 11 GB,NVIDIA,gtx 1080 ti,,gtx 1080 ti,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=368491322
Asus Dual Radeon RX 7900 GRE OC,6600,Radeon RX 7900 GRE 16 GB,AMD,rx 7900,,rx 7900,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373345714
AMD radeon RX 6500 XT,1300,Radeon RX 6500 XT 4 GB,AMD,rx 6500 xt,,rx 6500 xt,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=344551685
"iMac (Retina 5K, 27-inch, Late 2015) 16 GB Ram, QuadCore 4GHz i7 til salgs",8000,Unknown,,2015,16,,0,,https://www.finn.no/recommerce/forsale/item/373639380
Mining rig,2500,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/376018596
Miningrig uten GPU,1000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=371240068
GAMING PAKKE SELGES!!!!,8000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=372202786
MSI gtx 1070 8gb,1000,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,8,gtx 1070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=374042153
Diverse Data deler,4000,GeForce GTX 1060 6 GB,NVIDIA,gtx 1060,6,gtx 1060,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=368072114
"InWin GRone Full Tower Svart RGB  i5 7400 3,0GHz, 16GB, 128GB SSD, 1TB",3800,Unknown,,7400,16,,0,,https://www.finn.no/recommerce/forsale/item/375629474
